ticker,opening_price,source,captured_at_utc,notes
NVDA,229.4000,alpaca,2026-05-18T13:52:32+00:00,
AVGO,421.4100,alpaca,2026-05-18T13:52:32+00:00,
AMD,429.5000,alpaca,2026-05-18T13:52:32+00:00,
MRVL,181.5050,alpaca,2026-05-18T13:52:32+00:00,
ALAB,236.0300,alpaca,2026-05-18T13:52:32+00:00,
ARM,209.9500,alpaca,2026-05-18T13:52:32+00:00,
CRDO,170.7600,alpaca,2026-05-18T13:52:32+00:00,
ADI,425.9600,alpaca,2026-05-18T13:52:32+00:00,
LSCC,121.5000,alpaca,2026-05-18T13:52:32+00:00,
QCOM,206.6000,alpaca,2026-05-18T13:52:32+00:00,
TXN,308.0700,alpaca,2026-05-18T13:52:32+00:00,
INTC,113.5100,alpaca,2026-05-18T13:52:32+00:00,
MCHP,95.2850,alpaca,2026-05-18T13:52:32+00:00,
NXPI,298.3400,alpaca,2026-05-18T13:52:32+00:00,
ON,114.7500,alpaca,2026-05-18T13:52:32+00:00,
TSM,406.2000,alpaca,2026-05-18T13:52:32+00:00,
MU,750.4500,alpaca,2026-05-18T13:52:32+00:00,
PSTG,79.7600,alpaca,2026-05-18T13:52:32+00:00,remapped PSTG->P per ticker change
STX,799.8200,alpaca,2026-05-18T13:52:32+00:00,
SNDK,1432.5500,alpaca,2026-05-18T13:52:32+00:00,
WDC,486.4500,alpaca,2026-05-18T13:52:32+00:00,
NTAP,119.9050,alpaca,2026-05-18T13:52:32+00:00,
ASML,1518.5100,alpaca,2026-05-18T13:52:32+00:00,
AMAT,440.4200,alpaca,2026-05-18T13:52:32+00:00,
CDNS,344.5200,alpaca,2026-05-18T13:52:32+00:00,
KLAC,1820.1950,alpaca,2026-05-18T13:52:32+00:00,
LRCX,292.8600,alpaca,2026-05-18T13:52:32+00:00,
SNPS,498.5050,alpaca,2026-05-18T13:52:32+00:00,
CAMT,169.2500,alpaca,2026-05-18T13:52:32+00:00,
ENTG,135.7050,alpaca,2026-05-18T13:52:32+00:00,
ONTO,267.4200,alpaca,2026-05-18T13:52:32+00:00,
AEIS,327.2100,alpaca,2026-05-18T13:52:32+00:00,
FORM,123.4800,alpaca,2026-05-18T13:52:32+00:00,
ICHR,74.0300,alpaca,2026-05-18T13:52:32+00:00,
KLIC,103.2500,alpaca,2026-05-18T13:52:32+00:00,
MKSI,313.0000,alpaca,2026-05-18T13:52:32+00:00,
UCTT,88.1500,alpaca,2026-05-18T13:52:32+00:00,
ACLS,154.6700,alpaca,2026-05-18T13:52:32+00:00,
ANET,143.1350,alpaca,2026-05-18T13:52:32+00:00,
VRT,366.7300,alpaca,2026-05-18T13:52:32+00:00,
COHR,382.4100,alpaca,2026-05-18T13:52:32+00:00,
FN,716.4250,alpaca,2026-05-18T13:52:32+00:00,
LITE,953.2950,alpaca,2026-05-18T13:52:32+00:00,
CIEN,562.6300,alpaca,2026-05-18T13:52:32+00:00,
CSCO,119.1400,alpaca,2026-05-18T13:52:32+00:00,
AAOI,193.2400,alpaca,2026-05-18T13:52:32+00:00,
DELL,244.4700,alpaca,2026-05-18T13:52:32+00:00,
SMCI,31.1900,alpaca,2026-05-18T13:52:32+00:00,
HPE,33.3300,alpaca,2026-05-18T13:52:32+00:00,
IBM,218.4250,alpaca,2026-05-18T13:52:32+00:00,
EQIX,1063.0800,alpaca,2026-05-18T13:52:32+00:00,
DLR,189.4150,alpaca,2026-05-18T13:52:32+00:00,
IRM,124.8600,alpaca,2026-05-18T13:52:32+00:00,
AMT,171.2400,alpaca,2026-05-18T13:52:32+00:00,
CCI,87.0400,alpaca,2026-05-18T13:52:32+00:00,
SBAC,200.8800,alpaca,2026-05-18T13:52:32+00:00,
EME,908.8400,alpaca,2026-05-18T13:52:32+00:00,
FIX,1978.2450,alpaca,2026-05-18T13:52:32+00:00,
PWR,767.8300,alpaca,2026-05-18T13:52:32+00:00,
AGX,711.8400,alpaca,2026-05-18T13:52:32+00:00,
IESC,656.4600,alpaca,2026-05-18T13:52:32+00:00,
MTZ,414.9200,alpaca,2026-05-18T13:52:32+00:00,
MYRG,473.7000,alpaca,2026-05-18T13:52:32+00:00,
STRL,845.0000,alpaca,2026-05-18T13:52:32+00:00,
DY,429.8200,alpaca,2026-05-18T13:52:32+00:00,
FLR,44.4000,alpaca,2026-05-18T13:52:32+00:00,
J,111.3200,alpaca,2026-05-18T13:52:32+00:00,
PRIM,112.4000,alpaca,2026-05-18T13:52:32+00:00,
ACM,71.1000,alpaca,2026-05-18T13:52:32+00:00,
KBR,30.7600,alpaca,2026-05-18T13:52:32+00:00,
GVA,137.3800,alpaca,2026-05-18T13:52:32+00:00,
CEG,266.1700,alpaca,2026-05-18T13:52:32+00:00,
GEV,1048.0200,alpaca,2026-05-18T13:52:32+00:00,
VST,138.8850,alpaca,2026-05-18T13:52:32+00:00,
D,68.6100,alpaca,2026-05-18T13:52:32+00:00,
TLN,332.1250,alpaca,2026-05-18T13:52:32+00:00,
AEP,126.2300,alpaca,2026-05-18T13:52:32+00:00,
NEE,91.1150,alpaca,2026-05-18T13:52:32+00:00,
SO,92.3450,alpaca,2026-05-18T13:52:32+00:00,
AES,14.4750,alpaca,2026-05-18T13:52:32+00:00,
DUK,122.0600,alpaca,2026-05-18T13:52:32+00:00,
ETR,110.2200,alpaca,2026-05-18T13:52:32+00:00,
EXC,43.5900,alpaca,2026-05-18T13:52:32+00:00,
NRG,127.7000,alpaca,2026-05-18T13:52:32+00:00,
SRE,90.6900,alpaca,2026-05-18T13:52:32+00:00,
XEL,78.4350,alpaca,2026-05-18T13:52:32+00:00,
AEE,107.4800,alpaca,2026-05-18T13:52:32+00:00,
CMS,72.2300,alpaca,2026-05-18T13:52:32+00:00,
CNP,41.9500,alpaca,2026-05-18T13:52:32+00:00,
DTE,141.5400,alpaca,2026-05-18T13:52:32+00:00,
EIX,69.3300,alpaca,2026-05-18T13:52:32+00:00,
EVRG,81.4550,alpaca,2026-05-18T13:52:32+00:00,
FE,44.2850,alpaca,2026-05-18T13:52:32+00:00,
PCG,16.2300,alpaca,2026-05-18T13:52:32+00:00,
PNW,99.5850,alpaca,2026-05-18T13:52:32+00:00,
PPL,35.3300,alpaca,2026-05-18T13:52:32+00:00,
ES,67.0950,alpaca,2026-05-18T13:52:32+00:00,
CCJ,106.5450,alpaca,2026-05-18T13:52:32+00:00,
BWXT,204.1200,alpaca,2026-05-18T13:52:32+00:00,
LEU,177.5700,alpaca,2026-05-18T13:52:32+00:00,
NXE,11.2750,alpaca,2026-05-18T13:52:32+00:00,
UEC,13.8000,alpaca,2026-05-18T13:52:32+00:00,
DNN,3.2800,alpaca,2026-05-18T13:52:32+00:00,
OKLO,62.4500,alpaca,2026-05-18T13:52:32+00:00,
SMR,11.1100,alpaca,2026-05-18T13:52:32+00:00,
UUUU,18.3850,alpaca,2026-05-18T13:52:32+00:00,
ETN,397.4650,alpaca,2026-05-18T13:52:32+00:00,
MOD,270.3700,alpaca,2026-05-18T13:52:32+00:00,
NVT,167.2800,alpaca,2026-05-18T13:52:32+00:00,
TT,467.3250,alpaca,2026-05-18T13:52:32+00:00,
CAT,891.9350,alpaca,2026-05-18T13:52:32+00:00,
DOV,209.9700,alpaca,2026-05-18T13:52:32+00:00,
HUBB,475.0450,alpaca,2026-05-18T13:52:32+00:00,
ATKR,74.1750,alpaca,2026-05-18T13:52:32+00:00,
AZZ,141.2700,alpaca,2026-05-18T13:52:32+00:00,
CARR,64.6700,alpaca,2026-05-18T13:52:32+00:00,
CMI,693.2000,alpaca,2026-05-18T13:52:32+00:00,
EMR,132.2600,alpaca,2026-05-18T13:52:32+00:00,
GNRC,265.7300,alpaca,2026-05-18T13:52:32+00:00,
JCI,142.6450,alpaca,2026-05-18T13:52:32+00:00,
PH,862.4350,alpaca,2026-05-18T13:52:32+00:00,
WIRE,,DELISTED,2026-05-18T13:52:32+00:00,delisted 2024-07-02 — acquired by Prysmian at $290/share
XYL,108.1950,alpaca,2026-05-18T13:52:32+00:00,
AYI,282.2600,alpaca,2026-05-18T13:52:32+00:00,
FLS,65.5400,alpaca,2026-05-18T13:52:32+00:00,
LII,498.8150,alpaca,2026-05-18T13:52:32+00:00,
ROP,322.4000,alpaca,2026-05-18T13:52:32+00:00,
WTS,299.0150,alpaca,2026-05-18T13:52:32+00:00,
FCX,62.7450,alpaca,2026-05-18T13:52:32+00:00,
SCCO,178.0100,alpaca,2026-05-18T13:52:32+00:00,
TECK,61.9050,alpaca,2026-05-18T13:52:32+00:00,
AA,62.9800,alpaca,2026-05-18T13:52:32+00:00,
BHP,85.0600,alpaca,2026-05-18T13:52:32+00:00,
CRH,103.8000,alpaca,2026-05-18T13:52:32+00:00,
LIN,505.5450,alpaca,2026-05-18T13:52:32+00:00,
MLM,558.3600,alpaca,2026-05-18T13:52:32+00:00,
NUE,225.3000,alpaca,2026-05-18T13:52:32+00:00,
RIO,104.3000,alpaca,2026-05-18T13:52:32+00:00,
STLD,228.9950,alpaca,2026-05-18T13:52:32+00:00,
VMC,268.6100,alpaca,2026-05-18T13:52:32+00:00,
APD,295.7850,alpaca,2026-05-18T13:52:32+00:00,
CENX,57.5350,alpaca,2026-05-18T13:52:32+00:00,
CLF,10.3000,alpaca,2026-05-18T13:52:32+00:00,
CMC,71.2900,alpaca,2026-05-18T13:52:32+00:00,
EXP,196.8500,alpaca,2026-05-18T13:52:32+00:00,
MP,60.8700,alpaca,2026-05-18T13:52:32+00:00,
ALB,180.5000,alpaca,2026-05-18T13:52:32+00:00,
SBSW,12.2500,alpaca,2026-05-18T13:52:32+00:00,
SQM,84.4550,alpaca,2026-05-18T13:52:32+00:00,
